"NO","SCOPE","SEVERITY","DESCRIPTION"
"1","*","high","Base config is insecurely configured to permit clear text traffic to all domains."
"2","audi.de","secure","Domain config is securely configured to disallow clear text traffic to these domains in scope."
"3","audi.de","secure","Certificate pinning does not have an expiry. Ensure that pins are updated before certificate expire. [Pin: SkntvS+PgjC9VZKzE1c/4cFypF+pgBHMHt27Nq3j/OU= Digest: SHA-256,Pin: i7WTqTvh0OioIruIfFR4kMPnBqrS2rdiVPl/s2uC/CY= Digest: SHA-256,Pin: r/mIkG3eEpVdm+u/ko/cwxzOMo1bk4TyHIlByibiA5E= Digest: SHA-256]"
"4","audi.com","secure","Domain config is securely configured to disallow clear text traffic to these domains in scope."
"5","audi.com","secure","Certificate pinning does not have an expiry. Ensure that pins are updated before certificate expire. [Pin: SkntvS+PgjC9VZKzE1c/4cFypF+pgBHMHt27Nq3j/OU= Digest: SHA-256,Pin: i7WTqTvh0OioIruIfFR4kMPnBqrS2rdiVPl/s2uC/CY= Digest: SHA-256,Pin: r/mIkG3eEpVdm+u/ko/cwxzOMo1bk4TyHIlByibiA5E= Digest: SHA-256,Pin: ++MBgDH5WGvL9Bcn5Be30cRcL0f5O+NyoXuWtQdX1aI= Digest: SHA-256,Pin: C5+lpZ7tcVwmwQIMcRtPbsQtWLABXhQzejna0wHFr8M= Digest: SHA-256]"
"6","cache-dealersearch.audi.com                                                    pre-cache-dealersearch.audi.com                                                    mediaservice.audi.com                                                    pre-mediaservice.audi.com                                                    apps.audi.com                                                    pre-apps.audi.com","secure","Domain config is securely configured to disallow clear text traffic to these domains in scope."
"7","cache-dealersearch.audi.com                                                    pre-cache-dealersearch.audi.com                                                    mediaservice.audi.com                                                    pre-mediaservice.audi.com                                                    apps.audi.com                                                    pre-apps.audi.com","secure","Certificate pinning does not have an expiry. Ensure that pins are updated before certificate expire. [Pin: r/mIkG3eEpVdm+u/ko/cwxzOMo1bk4TyHIlByibiA5E= Digest: SHA-256]"
"8","ecom.audi","secure","Domain config is securely configured to disallow clear text traffic to these domains in scope."
"9","ecom.audi","secure","Certificate pinning does not have an expiry. Ensure that pins are updated before certificate expire. [Pin: SkntvS+PgjC9VZKzE1c/4cFypF+pgBHMHt27Nq3j/OU= Digest: SHA-256]"
"10","vwg-connect.com","secure","Domain config is securely configured to disallow clear text traffic to these domains in scope."
